source synth/list_parts.tcl
# puts [format "%-24s %-14s %-8s %s" PART PACKAGE SPEED DEVICE]
PART                     PACKAGE        SPEED    DEVICE
# foreach part [lsort [get_parts]] {
#     set pkg    [get_property PACKAGE     [get_parts $part]]
#     set speed  [get_property SPEED       [get_parts $part]]
#     set device [get_property DEVICE      [get_parts $part]]
#     puts [format "%-24s %-14s %-8s %s" $part $pkg $speed $device]
# }
xa7z010clg400-1I         clg400         -1I      xa7z010
xa7z010clg400-1Q         clg400         -1Q      xa7z010
xa7z020clg400-1I         clg400         -1I      xa7z020
xa7z020clg400-1Q         clg400         -1Q      xa7z020
xa7z020clg484-1I         clg484         -1I      xa7z020
xa7z020clg484-1Q         clg484         -1Q      xa7z020
xa7z030fbg484-1I         fbg484         -1I      xa7z030
xa7z030fbg484-1Q         fbg484         -1Q      xa7z030
xa7z030fbv484-1I         fbv484         -1I      xa7z030
xa7z030fbv484-1Q         fbv484         -1Q      xa7z030
xaau10p-ffvb676-1-i      ffvb676        -1       xaau10p
xaau10p-ffvb676-1L-i     ffvb676        -1L      xaau10p
xaau10p-ffvb676-1Q-q     ffvb676        -1Q      xaau10p
xaau10p-sbvb484-1-i      sbvb484        -1       xaau10p
xaau10p-sbvb484-1L-i     sbvb484        -1L      xaau10p
xaau10p-sbvb484-1Q-q     sbvb484        -1Q      xaau10p
xaau15p-ffvb676-1-i      ffvb676        -1       xaau15p
xaau15p-ffvb676-1L-i     ffvb676        -1L      xaau15p
xaau15p-ffvb676-1Q-q     ffvb676        -1Q      xaau15p
xaau15p-sbvb484-1-i      sbvb484        -1       xaau15p
xaau15p-sbvb484-1L-i     sbvb484        -1L      xaau15p
xaau15p-sbvb484-1Q-q     sbvb484        -1Q      xaau15p
xaau7p-fcva289-1-i       fcva289        -1       xaau7p
xaau7p-fcva289-1L-i      fcva289        -1L      xaau7p
xaau7p-fcva289-1LV-i     fcva289        -1LV     xaau7p
xaau7p-fcva289-1Q-q      fcva289        -1Q      xaau7p
xaau7p-sbvc484-1-i       sbvc484        -1       xaau7p
xaau7p-sbvc484-1L-i      sbvc484        -1L      xaau7p
xaau7p-sbvc484-1LV-i     sbvc484        -1LV     xaau7p
xaau7p-sbvc484-1Q-q      sbvc484        -1Q      xaau7p
xazu11eg-ffvf1517-1-i    ffvf1517       -1       xazu11eg
xazu11eg-ffvf1517-1Q-q   ffvf1517       -1Q      xazu11eg
xazu1eg-sbva484-1-i      sbva484        -1       xazu1eg
xazu1eg-sbva484-1LV-i    sbva484        -1LV     xazu1eg
xazu1eg-sbva484-1Q-q     sbva484        -1Q      xazu1eg
xazu1eg-sfva625-1-i      sfva625        -1       xazu1eg
xazu1eg-sfva625-1LV-i    sfva625        -1LV     xazu1eg
xazu1eg-sfva625-1Q-q     sfva625        -1Q      xazu1eg
xazu1eg-sfvc784-1-i      sfvc784        -1       xazu1eg
xazu1eg-sfvc784-1LV-i    sfvc784        -1LV     xazu1eg
xazu1eg-sfvc784-1Q-q     sfvc784        -1Q      xazu1eg
xazu2eg-sbva484-1-i      sbva484        -1       xazu2eg
xazu2eg-sbva484-1LV-i    sbva484        -1LV     xazu2eg
xazu2eg-sbva484-1Q-q     sbva484        -1Q      xazu2eg
xazu2eg-sfva625-1-i      sfva625        -1       xazu2eg
xazu2eg-sfva625-1LV-i    sfva625        -1LV     xazu2eg
xazu2eg-sfva625-1Q-q     sfva625        -1Q      xazu2eg
xazu2eg-sfvc784-1-i      sfvc784        -1       xazu2eg
xazu2eg-sfvc784-1LV-i    sfvc784        -1LV     xazu2eg
xazu2eg-sfvc784-1Q-q     sfvc784        -1Q      xazu2eg
xazu3eg-sbva484-1-i      sbva484        -1       xazu3eg
xazu3eg-sbva484-1LV-i    sbva484        -1LV     xazu3eg
xazu3eg-sbva484-1Q-q     sbva484        -1Q      xazu3eg
xazu3eg-sfva625-1-i      sfva625        -1       xazu3eg
xazu3eg-sfva625-1LV-i    sfva625        -1LV     xazu3eg
xazu3eg-sfva625-1Q-q     sfva625        -1Q      xazu3eg
xazu3eg-sfvc784-1-i      sfvc784        -1       xazu3eg
xazu3eg-sfvc784-1LV-i    sfvc784        -1LV     xazu3eg
xazu3eg-sfvc784-1Q-q     sfvc784        -1Q      xazu3eg
xazu3teg-sfvc784-1-i     sfvc784        -1       xazu3teg
xazu3teg-sfvc784-1L-i    sfvc784        -1L      xazu3teg
